"venue_current","venue_matched"
"Etihad Stadium","Docklands"
"UNSW Canberra Oval","Manuka Oval"
"Optus Stadium","Perth Stadium"
"SCG","S.C.G."
"MCG","M.C.G."
"Blundstone Arena","Bellerive Oval"
"GMHBA Stadium","Kardinia Park"
"Spotless Stadium","Sydney Showground"
"University of Tasmania Stadium","York Park"
"Mars Stadium","Eureka Stadium"
"Adelaide Arena, Shanghai","Jiangwan Stadium"
"Adelaide Arena at Jiangwan Stadium","Jiangwan Stadium"
"TIO Traeger Park","Traeger Park"
"Metricon Stadium","Carrara"
"TIO Stadium","Marrara Oval"
"GIANTS Stadium","Sydney Showground"
"Sydney Showground Stadium","Sydney Showground"
" Sydney Showground","Sydney Showground"
"Marvel Stadium","Docklands"